,∆u_I,u_Sn,u_Cs,E_perfect,VBM,∆H(XI_a) =∆u_X + a(∆u_I),,,,
I-rich,-0.605,-5.98,-4.54,-332.65,1.82,∆u_X = ∆H(XI_a) - a(∆u_I),,,,
I-poor,-0.895,-5.48,-4.18,-332.65,1.82,u_X = ∆u_X + E_X,,,,
,,,,,,E^f = E_tot - E_perfect + q*VBM + E_corr + u_Sn - u_X,,,,
In total = 15 X_Cs,,,,,I-rich condition,,,I-poor condition,,
X_Cs,E_tot (eV),E_perfect (eV),q*VBM (eV),E_corr (eV),u_Cs (eV),u_X (eV),E^f (eV),u_Cs (eV),u_X (eV),E^f (eV)
Ca_Cs-0,-333.01,-332.65,0.00,0.00,-4.54,-7.13,2.232,-4.18,-6.55,2.012
Ca_Cs+1,-336.52,-332.65,1.82,0.11,-4.54,-7.13,0.649,-4.18,-6.55,0.429
Ba_Cs-0,-332.89,-332.65,0.00,0.00,-4.54,-7.54,2.763,-4.18,-6.96,2.543
Ba_Cs+1,-337.80,-332.65,1.82,0.12,-4.54,-7.54,-0.212,-4.18,-6.96,-0.432
Sr_Cs-0,-333.46,-332.65,0.00,0.00,-4.54,-6.80,1.447,-4.18,-6.22,1.227
Sr_Cs+1,-336.98,-332.65,1.82,0.13,-4.54,-6.80,-0.120,-4.18,-6.22,-0.340
Y_Cs-0,-338.86,-332.65,0.00,0.00,-4.54,-14.37,3.621,-4.18,-13.50,3.111
Y_Cs+1,-342.28,-332.65,1.82,0.08,-4.54,-14.37,2.102,-4.18,-13.50,1.592
Cu_Cs-0,-332.37,-332.65,0.00,0.00,-4.54,-4.67,0.406,-4.18,-4.09,0.186
Cu_Cs+1,-334.18,-332.65,1.82,0.13,-4.54,-4.67,0.554,-4.18,-4.09,0.334
Mo_Cs-0,-342.45,-332.65,0.00,0.00,-4.54,-17.21,2.870,-4.18,-16.05,2.070
Mo_Cs+1,-345.44,-332.65,1.82,0.15,-4.54,-17.21,1.846,-4.18,-16.05,1.046
Cd_Cs-0,-331.91,-332.65,0.00,0.00,-4.54,-3.10,-0.704,-4.18,-2.52,-0.924
Cd_Cs+1,-332.65,-332.65,1.82,0.12,-4.54,-3.10,0.503,-4.18,-2.52,0.283
Zr_Cs-0,-339.90,-332.65,0.00,0.00,-4.54,-15.58,3.794,-4.18,-14.42,2.994
Zr_Cs+1,-343.43,-332.65,1.82,0.15,-4.54,-15.58,2.231,-4.18,-14.42,1.431
Al_Cs-0,-332.67,-332.65,0.00,0.00,-4.54,-6.74,2.183,-4.18,-5.87,1.673
Al_Cs+1,-334.42,-332.65,1.82,0.09,-4.54,-6.74,2.336,-4.18,-5.87,1.826
Ga_Cs-0,-332.47,-332.65,0.00,0.00,-4.54,-5.60,1.237,-4.18,-4.73,0.727
Ga_Cs+1,-334.19,-332.65,1.82,0.15,-4.54,-5.60,1.492,-4.18,-4.73,0.982
In_Cs-0,-332.41,-332.65,0.00,0.00,-4.54,-5.09,0.793,-4.18,-4.22,0.283
In_Cs+1,-334.17,-332.65,1.82,0.16,-4.54,-5.09,1.008,-4.18,-4.22,0.498
Sc_Cs-0,-338.64,-332.65,0.00,0.00,-4.54,-13.60,3.073,-4.18,-12.73,2.563
Sc_Cs+1,-342.18,-332.65,1.82,0.12,-4.54,-13.60,1.469,-4.18,-12.73,0.959
Zn_Cs-0,-329.34,-332.65,0.00,0.00,-4.54,-3.20,1.966,-4.18,-2.62,1.746
Zn_Cs+1,-333.01,-332.65,1.82,0.15,-4.54,-3.20,0.274,-4.18,-2.62,0.054
W_Cs-0,-342.43,-332.65,0.00,0.00,-4.54,-18.34,4.023,-4.18,-18.34,4.383
W_Cs+1,-345.92,-332.65,1.82,0.14,-4.54,-18.34,2.490,-4.18,-18.34,2.850
Nb_Cs-0,-341.58,-332.65,0.00,0.00,-4.54,-16.51,3.036,-4.18,-15.06,1.946
Nb_Cs+1,-345.12,-332.65,1.82,0.17,-4.54,-16.51,1.494,-4.18,-15.06,0.404
