,,,,,,,,,,,,I-rich condition,,I-poor condition,,,
,E_X (eV),#X,E_X/atom,E_I (eV),#I,E_I/atom,E_XI (eV),#X,E_XI/unitcell,,∆H_XI,∆u_X,u_X,∆u_X,u_X,∆H_XI/atom (exp),∆H_XI/atom (cal)
ScI3,-19.21,2,-9.61,-5.64,2,-2.82,-47.73,2,-23.87,ScI3,-5.81,-3.99,-13.60,-3.12,-12.73,-1.47,-1.45
YI3,-83.56,9,-9.28,-5.64,2,-2.82,-147.81,6,-24.64,YI3,-6.90,-5.08,-14.37,-4.21,-13.50,-1.60,-1.72
TiI4,-35.02,3,-11.67,-5.64,2,-2.82,-114.94,4,-28.74,TiI4,-5.79,-3.37,-15.04,-2.21,-13.88,-0.79,-1.18
ZrI4,-23.10,2,-11.55,-5.64,2,-2.82,-175.61,6,-29.27,ZrI4,-6.45,-4.03,-15.58,-2.87,-14.42,-1.01,-1.29
AsI3,-40.39,6,-6.73,-5.64,2,-2.82,-98.84,6,-16.47,AsI3,-1.29,0.00,-6.73,0.00,-6.73,-0.15,-0.32
SbI3,-43.36,6,-7.23,-5.64,2,-2.82,-105.93,6,-17.66,SbI3,-1.98,-0.16,-7.39,0.00,-7.23,-0.25,-0.49
BiI3,-23.72,4,-5.93,-5.64,2,-2.82,-33.78,2,-16.89,BiI3,-2.51,-0.69,-6.62,0.00,-5.93,-0.39,-0.63
BaI2,-7.80,4,-1.95,-5.64,2,-2.82,-57.53,4,-14.38,BaI2,-6.80,-5.59,-7.54,-5.01,-6.96,-2.09,-2.27
SrI2,-15.04,9,-1.67,-5.64,2,-2.82,-54.58,4,-13.65,SrI2,-6.34,-5.13,-6.80,-4.55,-6.22,-1.96,-1.58
AlI3,-18.77,4,-4.69,-5.64,2,-2.82,-68.05,4,-17.01,AlI3,-3.87,-2.05,-6.74,-1.18,-5.87,-0.80,-0.97
CaI2,-7.23,4,-1.81,-5.64,2,-2.82,-13.98,1,-13.98,CaI2,-6.54,-5.33,-7.13,-4.75,-6.55,-1.85,-2.18
GaI3,-32.02,8,-4.00,-5.64,2,-2.82,-63.46,4,-15.86,GaI3,-3.41,-1.59,-5.60,-0.72,-4.73,-0.57,-0.85
InI3,-6.40,2,-3.20,-5.64,2,-2.82,-61.43,4,-15.36,InI3,-3.70,-1.89,-5.09,-1.02,-4.22,-0.70,-0.93
CdI2,-4.65,4,-1.16,-5.64,2,-2.82,-59.65,6,-9.94,Cd,-3.14,-1.93,-3.10,-1.35,-2.52,-0.25,-1.05
CuI2,-14.32,4,-3.58,-5.64,2,-2.82,-23.03,2,-11.52,CuI2,-2.30,-1.09,-4.67,-0.51,-4.09,-0.25,-0.77
MoI4,-30.78,2,-15.39,-5.64,2,-2.82,-61.81,2,-30.91,MoI4,-4.24,-1.82,-17.21,-0.66,-16.05,-0.33,-0.85
MnI2,-37.39,2,-18.69,-5.64,2,-2.82,-28.87,1,-28.87,MnI2,-4.54,-3.33,-22.02,-2.75,-21.44,-0.55,-1.51
NbI5,-27.93,2,-13.97,-5.64,2,-2.82,-67.25,2,-33.63,NbI5,-5.57,-2.55,-16.51,-1.10,-15.06,-0.56,-0.93
ZnI2,-3.30,2,-1.65,-5.64,2,-2.82,-30.13,3,-10.04,ZnI2,-2.76,-1.55,-3.20,-0.97,-2.62,-0.71,-0.92
WI4,-36.69,2,-18.34,-5.64,2,-2.82,-62.09,2,-31.04,WI4,-1.43,0.00,-18.34,0.00,-18.34,-0.25,-0.29
AgI,-12.82,4,-3.20,-5.64,2,-2.82,-30.21,4,-7.55,AgI,-1.53,-0.92,-4.13,-0.63,-3.84,-0.32,-0.76
AuI3,-16.00,4,-4.00,-5.64,2,-2.82,-29.19,2,-14.60,AuI3,-2.13,-0.32,-4.32,0.00,-4.00,-0.18,-0.53
VI4,-28.02,2,-14.01,-5.64,2,-2.82,-32.23,1,-32.23,VI4,-6.94,-4.52,-18.53,-3.36,-17.37,-0.51,-1.39
CrI3,-33.69,2,-16.84,-5.64,2,-2.82,-182.25,6,-30.38,CrI3,-5.07,-3.26,-20.10,-2.39,-19.23,-0.52,-1.27
MgI2,-3.23,2,-1.62,-5.64,2,-2.82,-11.61,1,-11.61,MgI2,-4.35,-3.14,-4.76,-2.56,-4.18,-1.28,-1.45
PdI2,-29.56,4,-7.39,-5.64,2,-2.82,-29.89,2,-14.95,PdI2,-1.91,-0.70,-8.10,-0.12,-7.52,-0.22,-0.51
GeI2,-51.02,8,-6.38,-5.64,2,-2.82,-41.02,3,-13.67,GeI2,-1.66,-0.45,-6.83,0.13,-6.25,-0.27,-0.55
,,,,,,,,,,,,,,,,,
,∆u_I,u_Sn,u_Cs,∆H(XI_a) = E_X - E_I - a(E_XI),,,,,,,,,,,,,
I-rich,-0.605,-5.98,-4.54,∆u_X = ∆H(XI_a) - a(∆u_I),,,,,,,,,,,,,
I-poor,-0.895,-5.48,-4.18,u_X = ∆u_X  + E_X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
